25863,201731,21,15
25871,201731,22,15
25875,201731,23,16
25875,201731,24,17
36018,201731,11,8
36123,201731,11,5
36125,201731,12,10
35746,201731,13,5
32258,201731,14,10
32734,201731,4,2
30530,201731,1,9
34352,201731,1,7
32865,201731,1,3
35068,201731,1,6
31840,201731,1,4
30931,201731,6,1
36256,201731,7,8
30402,201731,8,6
33193,201731,5,1
35198,201731,15,5
35749,201731,2,3
31234,201731,8,9
25809,201731,8,7
26292,201731,3,3
21074,201731,16,11
21502,201731,17,12
23752,201731,18,13
20621,201731,19,14
25246,201731,20,13
